Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Duration,Order IDs
2024-05-07T15:15:00Z,"QQQ   240621C00453000",2024-05-10T14:02:00Z,Sell,6.27,5.94,15,495,19.5,-345,2527.5,2872.5,1,"2.22:47:00","196;202"
2024-05-09T15:15:00Z,"QQQ   240621C00449780",2024-05-30T14:36:00Z,Buy,6.74,10.12,15,5070,19.5,-667.5,12780,7957.5,1,"20.23:21:00","197;205"
2024-05-09T15:15:00Z,"QQQ   240621C00453000",2024-05-30T14:36:00Z,Sell,5.4,8.12,15,-4080,19.5,-11400,1222.5,11947.5,0,"20.23:21:00","198;206"
2024-05-14T19:45:00Z,"QQQ   240614C00451000",2024-05-30T14:36:00Z,Buy,7.02,8.18,15,1740,19.5,-255,9585,7957.5,1,"15.18:51:00","203;207"
2024-05-14T19:45:00Z,"QQQ   240614C00460000",2024-05-30T14:36:00Z,Sell,3.45,3.49,15,-60,19.5,-5610,112.5,5722.5,0,"15.18:51:00","204;208"
2024-06-06T19:45:00Z,"QQQ   240719C00470000",2024-06-20T19:51:00Z,Buy,7.25,14.47,15,10830,17.25,-1447.5,21315,10485,1,"14.00:06:00","209;214"
2024-06-06T19:45:00Z,"QQQ   240719C00475000",2024-06-20T19:51:00Z,Sell,5.16,13.19,15,-12045,17.25,-18345,1215,19560,0,"14.00:06:00","210;215"
2024-06-14T14:31:00Z,"QQQ   240705C00467000",2024-06-20T19:52:00Z,Buy,14.07,16.76,5,1345,6.5,-517.5,3770,3220,1,"6.05:21:00","211;216"
2024-06-21T14:31:00Z,"QQQ   240712C00467000",2024-06-26T15:56:00Z,Buy,16.58,16.81,4,92,5.2,-1876,726,2602,1,"5.01:25:00","217;222"
2024-06-26T16:01:00Z,"QQQ   240712C00470000",2024-06-27T14:17:00Z,Buy,14.37,15.76,4,556,5.2,-694,618,694,1,"22:16:00","223;228"
2024-06-27T14:31:00Z,"QQQ   240712C00472500",2024-06-28T14:03:00Z,Buy,13.33,15,5,835,6.5,-1117.5,1132.5,1117.5,1,"23:32:00","229;234"
2024-06-28T14:31:00Z,"QQQ   240719C00475000",2024-07-01T14:14:00Z,Buy,15.13,8.32,4,-2724,5.2,-2724,206,2930,0,"2.23:43:00","235;238"
2024-07-01T14:31:00Z,"QQQ   240719C00468000",2024-07-01T18:16:00Z,Buy,15.15,16.64,4,596,5.2,-506,710,506,1,"03:45:00","240;245"
2024-07-03T14:31:00Z,"QQQ   240719C00478000",2024-07-03T16:04:00Z,Buy,12.84,15.17,5,1165,6.5,-95,1257.5,202.5,1,"01:33:00","246;251"
2024-07-03T16:46:00Z,"QQQ   240719C00480000",2024-07-05T13:33:00Z,Buy,13.6,14.88,5,640,6.5,-150,810,170,1,"1.20:47:00","253;258"
2024-07-05T14:31:00Z,"QQQ   240726C00482000",2024-07-08T13:32:00Z,Buy,15.91,17.53,4,648,5.2,-160,926,318,1,"2.23:01:00","259;262"
2024-07-08T14:31:00Z,"QQQ   240726C00485000",2024-07-09T13:35:00Z,Buy,15.49,17.55,4,824,5.2,-270,1028,468,1,"23:04:00","264;271"
2024-07-09T14:31:00Z,"QQQ   240726C00488000",2024-07-10T17:00:00Z,Buy,14.41,16.94,5,1265,6.5,-812.5,1320,1097.5,1,"1.02:29:00","272;297"
